STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
         44;20231112;-999;-999;-999;   10;   0.5;   4;    0.600;   0;  -999;   8.8;    -999;    5.5;   96.00;    8.0;    2.8;   -0.4;eor
         44;20231113;-999;-999;-999;   10;  12.9;   4;    0.200;   0;  -999;   9.3;    -999;    6.5;   94.00;   12.3;    1.3;   -1.4;eor
         44;20231114;-999;-999;-999;   10;   4.2;   4;    0.900;   0;  -999;  11.6;    -999;   11.0;   88.00;   12.9;    8.7;    7.9;eor
         44;20231115;-999;-999;-999;   10;   1.8;   4;    0.200;   0;  -999;  10.8;    -999;    8.9;   95.00;   10.4;    7.3;    5.4;eor
         44;20231116;-999;-999;-999;   10;   0.0;   0;    3.500;   0;  -999;   8.2;    -999;    5.7;   90.00;    9.3;    0.3;   -1.8;eor
         44;20231117;-999;-999;-999;   10;   0.1;   4;    4.300;   0;  -999;   7.2;    -999;    3.1;   95.00;    8.3;   -0.4;   -2.6;eor
         44;20231118;-999;-999;-999;   10;   6.5;   4;    0.000;   0;  -999;   7.7;    -999;    3.4;   97.00;    8.2;   -0.2;   -1.7;eor
         44;20231119;-999;-999;-999;   10;  37.6;   4;    0.500;   0;  -999;  12.4;    -999;   10.6;   96.00;   12.0;    8.3;    8.0;eor
         44;20231120;-999;-999;-999;   10;   5.9;   4;    0.000;   0;  -999;  11.9;    -999;   10.1;   96.00;   11.4;    7.8;    7.1;eor
         44;20231121;-999;-999;-999;   10;   0.0;   0;    0.100;   0;  -999;   9.0;    -999;    6.6;   91.00;    8.4;    1.3;   -1.8;eor
         44;20231122;-999;-999;-999;   10;   0.2;   4;    1.200;   0;  -999;   6.3;    -999;    2.1;   89.00;    5.9;   -1.7;   -3.6;eor
         44;20231123;-999;-999;-999;   10;   6.3;   4;    0.000;   0;  -999;  11.1;    -999;    9.8;   91.00;   12.6;    5.5;    4.1;eor
         44;20231124;-999;-999;-999;   10;   2.5;   4;    2.000;   0;  -999;   7.0;    -999;    3.9;   87.00;    6.3;   -1.1;   -2.6;eor
         44;20231125;-999;-999;-999;   10;   2.0;   4;    4.400;   0;  -999;   6.6;    -999;    2.7;   89.00;    7.1;   -1.0;   -3.4;eor
         44;20231126;-999;-999;-999;   10;   3.7;   4;    1.000;   0;  -999;   7.5;    -999;    3.3;   96.00;    6.3;   -1.2;   -3.5;eor
         44;20231127;-999;-999;-999;   10;  11.7;   4;    0.000;   0;  -999;   7.2;    -999;    3.0;   95.00;    5.0;    0.7;    0.5;eor
